id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Strength Team 1,Strength Team 2
335982,2008,1,18-04-2008,1,5,1,1,normal,0,5,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,,1.139,0.987
335983,2008,2,19-04-2008,2,8,8,2,normal,0,8,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,,1.141,1.05
335984,2008,3,19-04-2008,3,6,6,2,normal,0,3,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,,1.292,0.987
335985,2008,4,20-04-2008,4,1,4,2,normal,0,1,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,,1.378,1.139
335986,2008,5,20-04-2008,5,7,7,2,normal,0,5,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,,0.987,1.288
335987,2008,6,21-04-2008,6,2,2,2,normal,0,6,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,,0.987,1.141
335988,2008,7,22-04-2008,7,3,7,2,normal,0,3,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,1.288,1.292
335989,2008,8,23-04-2008,8,4,4,1,normal,0,8,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,,1.05,1.378
335990,2008,7,24-04-2008,7,6,6,1,normal,0,6,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson,,1.288,0.987
335991,2008,2,25-04-2008,2,4,4,1,normal,0,2,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba,,1.141,1.378
335992,2008,1,26-04-2008,1,6,6,1,normal,0,6,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,,1.139,0.987
335993,2008,8,26-04-2008,8,5,5,2,normal,0,8,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,,1.05,0.987
335994,2008,4,27-04-2008,4,7,7,1,normal,0,7,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,,1.378,1.288
335995,2008,2,27-04-2008,2,3,3,2,normal,0,2,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,,1.141,1.292
335996,2008,1,28-04-2008,1,8,8,2,normal,0,8,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,,1.139,1.05
335997,2008,5,29-04-2008,5,4,5,2,normal,0,4,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash,,0.987,1.378
335998,2008,3,30-04-2008,3,1,1,1,normal,0,3,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,,1.292,1.139
335999,2008,7,01-05-2008,7,2,2,1,normal,0,2,0,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,RB Tiffin,,1.288,1.141
